id;title;type;release_year;age_certification;genres;imdb_score;tmdb_popularity;tmdb_score
tm1038369;Good on Paper;MOVIE;2021;R;['comedy', 'romance'];5.600000;14.843000;14.843000
tm1038857;Lady Boss: The Jackie Collins Story;MOVIE;2021;;['documentation'];6.800000;2.614000;2.614000
tm1038686;Bo Burnham: Inside;MOVIE;2021;R;['comedy', 'drama', 'music', 'reality'];8.700000;11.434000;11.434000
tm1039168;Cinema Bandi;MOVIE;2021;;['drama', 'comedy'];7.900000;1.609000;1.609000
tm1039571;The Upshaws - The Afterparty;MOVIE;2021;R;[];0.000000;1.878000;1.878000
tm1040337;Security;MOVIE;2021;;['thriller'];4.900000;25.561001;25.561001
tm1039422;Nail Bomber: Manhunt;MOVIE;2021;;['crime', 'history', 'documentation'];6.300000;9.516000;9.516000
tm1039147;Audible;MOVIE;2021;PG-13;['documentation'];5.300000;8.896000;8.896000
tm1038363;America: The Motion Picture;MOVIE;2021;R;['action', 'animation', 'war', 'comedy', 'fantasy', 'history', 'scifi'];5.600000;68.439003;68.439003
tm1040688;Three Songs for Benazir;MOVIE;2021;;['drama'];7.700000;3.333000;3.333000
tm1040816;Momshies! Your Soul is Mine;MOVIE;2021;;['comedy'];5.800000;2.170000;2.170000
tm1040733;In Our Mothers' Gardens;MOVIE;2021;;['documentation'];8.600000;2.079000;2.079000
tm1040959;The Circle: The Afterparty;MOVIE;2021;;[];0.000000;1.882000;1.882000
tm1041329;One Second;MOVIE;2021;;['comedy', 'romance'];4.700000;1.960000;1.960000
tm1040832;Mommy Issues;MOVIE;2021;;['comedy'];5.400000;2.324000;2.324000
tm1042277;Sam Smith: Love Goes � Live at Abbey Road Studios;MOVIE;2021;;['music', 'documentation'];0.000000;1.780000;1.780000
tm1041549;Dear Affy;MOVIE;2020;;['romance', 'comedy'];5.200000;0.939000;0.939000
tm1043290;Murder by the Coast;MOVIE;2021;PG-13;['crime', 'documentation', 'history'];6.500000;8.719000;8.719000
tm1042481;Riverdance: The Animated Adventure;MOVIE;2021;;['animation', 'comedy', 'fantasy'];5.400000;113.987000;113.987000
tm1041543;Breaking Boundaries: The Science of Our Planet;MOVIE;2021;;['documentation'];7.800000;7.679000;7.679000
tm1043655;One Lagos Night;MOVIE;2021;;['crime', 'comedy'];6.600000;1.834000;1.834000
tm1043537;Operation Mincemeat;MOVIE;2022;PG-13;['drama', 'war', 'history'];6.600000;44.290001;44.290001
tm1044275;A Classic Horror Story;MOVIE;2021;;['horror', 'thriller', 'drama'];0.000000;62.410999;62.410999
tm1044137;Headspace Unwind you Mind;MOVIE;2021;G;['animation', 'documentation'];7.200000;6.434000;6.434000
tm1045018;Clash;MOVIE;2021;;['family', 'drama'];6.100000;1.253000;1.253000
tm1045603;The House of Flowers: The Movie;MOVIE;2021;R;['drama', 'comedy'];5.500000;34.004002;34.004002
tm1045883;Trippin� with the Kandasamys;MOVIE;2021;;['romance', 'comedy'];4.900000;17.846001;17.846001
tm1046026;The Trip;MOVIE;2021;;['action', 'thriller', 'comedy', 'horror'];6.900000;65.274002;65.274002
tm1045741;Blue Miracle;MOVIE;2021;;['family', 'action', 'drama'];6.600000;17.952999;17.952999
tm1044289;Interceptor;MOVIE;2022;PG-13;['thriller', 'action', 'drama'];4.500000;438.511993;438.511993
tm104349;The Unjust;MOVIE;2010;;['thriller', 'crime', 'drama', 'action'];6.600000;5.963000;5.963000
tm1040671;Marilyn's Eyes;MOVIE;2021;;['comedy', 'drama'];6.600000;6.821000;6.821000
tm1046627;Hypnotic;MOVIE;2021;;['thriller', 'horror', 'drama'];5.300000;71.857002;71.857002
tm1046969;Myriam Fares: The Journey;MOVIE;2021;;['documentation', 'music'];2.300000;1.487000;1.487000
tm1046932;Kate;MOVIE;2021;R;['action', 'drama', 'thriller', 'crime'];6.200000;64.190002;64.190002
tm1047503;Trees of Peace;MOVIE;2021;NC-17;['drama'];6.400000;118.557999;118.557999
tm1047429;Alan Salda�a: Locked Up;MOVIE;2021;;['comedy'];0.000000;6.670000;6.670000
tm1047190;The Phantom;MOVIE;2021;;['documentation', 'crime'];6.500000;3.462000;3.462000
tm1048678;Like A Rolling Stone: The Life & Times of Ben Fong-Torres;MOVIE;2021;;['documentation'];7.300000;1.706000;1.706000
tm1048362;Army of Thieves;MOVIE;2021;R;['comedy', 'crime', 'thriller', 'scifi', 'horror', 'romance', 'action'];6.400000;157.020996;157.020996
tm1047951;Small Chops;MOVIE;2020;;['drama'];3.000000;1.200000;1.200000
tm1049083;Trese After Dark;MOVIE;2021;PG-13;['documentation'];0.000000;2.792000;2.792000
tm1049155;Bordertown: The Mural Murders;MOVIE;2021;;['crime', 'drama'];6.200000;69.693001;69.693001
tm1049317;Upcoming Summer;MOVIE;2021;;['drama'];6.700000;3.257000;3.257000
tm1049290;In for a Murder;MOVIE;2021;;['comedy', 'thriller', 'drama', 'crime', 'scifi'];5.300000;62.598999;62.598999
tm1049265;My Wonderful Life;MOVIE;2021;;['romance', 'comedy', 'drama'];5.800000;4.228000;4.228000
tm1052498;Aileen Wuornos: American Boogeywoman;MOVIE;2021;R;['thriller', 'drama', 'horror'];3.700000;6.830000;6.830000
tm105278;Inuyasha the Movie 2: The Castle Beyond the Looking Glass;MOVIE;2002;PG-13;['fantasy', 'action', 'animation', 'romance', 'comedy'];7.300000;30.957001;30.957001
tm104933;Sinbad: Son of a Preacher Man;MOVIE;1996;;['comedy', 'documentation'];6.800000;1.536000;1.536000
tm104880;Louis C.K.: Hilarious;MOVIE;2010;;['comedy'];8.400000;5.717000;5.717000
tm1053409;Happiness Ever After;MOVIE;2021;;['drama', 'romance'];4.200000;11.536000;11.536000
tm1055586;Lethal Love;MOVIE;2021;;['thriller'];4.400000;0.000000;0.000000
tm1054462;The Land;MOVIE;2021;;['comedy', 'drama', 'crime'];6.100000;1.627000;1.627000
tm1059008;Lokillo;MOVIE;2021;;['comedy'];3.800000;26.004999;26.004999
tm1062350;Kedibone;MOVIE;2020;;['drama'];4.500000;2.368000;2.368000
tm1057343;Prophetess;MOVIE;2021;;['drama', 'comedy'];6.800000;1.400000;1.400000
tm1063013;The Father Who Moves Mountains;MOVIE;2021;PG-13;['thriller', 'drama'];5.500000;19.955000;19.955000
tm1063339;Lee Su-geun: The Sense Coach;MOVIE;2021;;['comedy'];4.100000;1.058000;1.058000
tm1063034;The Wonderful: Stories from the Space Station;MOVIE;2021;;['documentation'];0.000000;1.983000;1.983000
tm1063790;A Man for The Weekend;MOVIE;2017;;['romance', 'comedy'];4.500000;1.036000;1.036000
tm1063652;Intrusion;MOVIE;2021;;['thriller', 'drama'];5.200000;113.422997;113.422997
tm106278;Everything Must Go;MOVIE;2011;R;['romance', 'comedy', 'drama'];6.400000;9.825000;9.825000
tm1064065;Black Crab;MOVIE;2022;;['scifi', 'thriller', 'war', 'action', 'drama'];5.600000;207.947998;207.947998
tm1064228;Fatherhood;MOVIE;2021;PG-13;['drama', 'comedy'];6.600000;88.619003;88.619003
tm1064193;Private Network: Who Killed Manuel Buend�a?;MOVIE;2021;;['history', 'documentation', 'crime'];6.800000;2.804000;2.804000
tm1064988;Zero to Hero;MOVIE;2021;;['drama', 'sport'];6.700000;4.779000;4.779000
tm1065788;Last Summer;MOVIE;2021;;['drama', 'romance'];6.300000;33.733002;33.733002
tm1065041;The Seven Deadly Sins: Cursed by Light;MOVIE;2021;PG-13;['animation', 'fantasy', 'action'];6.400000;470.786987;470.786987
