id;title;type;release_year;age_certification;genres;imdb_score;tmdb_popularity;tmdb_score
ts227385;Transformers: War for Cybertron: Siege;SHOW;2020;TV-14;['scifi', 'action', 'animation'];;30,394;7,6
tm948128;Audrey;MOVIE;2020;PG;['documentation', 'history'];7,1;8,723;7,1
ts222455;The Devil Next Door;SHOW;2019;TV-MA;['crime', 'documentation', 'history'];7,6;6,571;7,2
tm828069;Calm with Horses;MOVIE;2020;;['crime', 'drama'];6,8;6,1;6,4
tm935309;Skylines;MOVIE;2020;R;['scifi', 'action'];4,7;92,324;5,6
ts106536;White Lines;SHOW;2020;TV-MA;['drama', 'thriller', 'crime'];6,6;14,393;6,8
tm458467;Girl on the Third Floor;MOVIE;2019;;['horror', 'thriller', 'drama'];4,7;10,168;5,3
ts84586;Spinning Out;SHOW;2020;TV-MA;['drama', 'sport'];7,6;14,067;8,1
ts89251;Tales of the City;SHOW;2019;TV-MA;['drama'];7,4;10,445;7,5
ts90937;Stateless;SHOW;2020;TV-14;['drama'];7,5;8,085;6,8
ts86978;Power Rangers Beast Morphers;SHOW;2019;TV-Y7;['action', 'animation', 'scifi', 'thriller', 'comedy', 'drama', 'fantasy'];6,5;1,802;9,7
tm426638;Vita & Virginia;MOVIE;2019;;['drama', 'romance', 'european'];5,7;8,037;6,9
tm852996;Captain Underpants: Epic Choice-o-rama;MOVIE;2020;;['comedy', 'fantasy', 'family', 'animation', 'action', 'scifi'];6,4;4,5;8
ts87471;Darwin's Game;SHOW;2020;TV-14;['action', 'scifi', 'animation', 'thriller', 'drama'];7,2;14,208;7,86
tm464557;The Perfect Date;MOVIE;2019;PG-13;['romance', 'comedy'];5,8;51,174;6,5
ts86946;Osmosis;SHOW;2019;TV-MA;['drama', 'scifi', 'romance'];5,7;8,783;5,9
ts86726;Tidying Up with Marie Kondo;SHOW;2019;TV-PG;['reality'];6,6;4,47;6,8
tm554944;Love Wedding Repeat;MOVIE;2020;;['comedy', 'romance'];5,5;10,708;5,66
tm845437;Disclosure;MOVIE;2020;;['documentation'];8,2;13,019;8,2
tm463385;Framing John DeLorean;MOVIE;2019;;['drama', 'documentation'];6,5;4,842;6,2
tm856375;The Decline;MOVIE;2020;R;['thriller', 'action'];6;7,679;6,2
tm822907;Patsy & Loretta;MOVIE;2019;;['music', 'drama'];6,8;4,824;6,6
tm952590;What Lies Below;MOVIE;2020;;['horror', 'thriller', 'scifi'];4,3;35,418;5,4
tm918706;The Sleepover;MOVIE;2020;;['action', 'comedy', 'family'];5,6;9,88;6,5
tm910040;Milkwater;MOVIE;2020;;['comedy', 'drama'];;1,692;4,3
ts243036;Selena: The Series;SHOW;2020;TV-PG;['drama', 'music'];6,9;45,91;7,5
tm831061;Magamuni;MOVIE;2019;PG-13;['drama', 'thriller', 'crime'];7,8;1,418;6,9
ts271247;LEGO City Adventures;SHOW;2019;TV-Y7;['animation', 'action', 'comedy', 'family'];6,7;7,24;7,4
ts255926;Dash & Lily;SHOW;2020;TV-14;['drama', 'comedy', 'romance'];7,5;16,738;8,2
tm827216;Bill Burr: Paper Tiger;MOVIE;2019;;['comedy'];8,1;6,16;7,3
ts76382;Carmen Sandiego;SHOW;2019;TV-Y7;['animation', 'action', 'thriller', 'family'];7,9;16,916;8,1
ts89282;Toy Boy;SHOW;2019;TV-MA;['drama', 'thriller', 'crime', 'action'];6,5;23,996;7,7
tm497383;Sergio;MOVIE;2020;R;['drama', 'history', 'romance', 'documentation'];6,2;11,893;6,7
tm475252;The Lift Boy;MOVIE;2019;;['drama', 'comedy'];7,1;1,422;6,8
tm887450;Made You Look: A True Story About Fake Art;MOVIE;2020;;['documentation', 'crime'];7;4,929;7
ts321758;Vagabond;SHOW;2019;TV-MA;['drama', 'thriller', 'romance', 'action'];8,2;29,264;8,475
tm898474;The Swarm;MOVIE;2020;;['horror', 'drama', 'fantasy', 'european'];5,3;11,418;5,817
tm852097;A Whisker Away;MOVIE;2020;;['fantasy', 'drama', 'romance', 'animation', 'family'];6,7;64,583;8
tm471878;Fatima;MOVIE;2020;PG-13;['drama', 'war'];6,5;8,184;7,2
tm827142;Dave Chappelle: Sticks & Stones;MOVIE;2019;R;['comedy'];8,4;7,885;7,646
ts256309;Aunty Donna's Big Ol House of Fun;SHOW;2020;TV-MA;['comedy'];7,9;4,316;7,5
ts219080;Caliphate;SHOW;2020;TV-MA;['drama', 'war', 'thriller', 'crime'];8,2;12,662;7,3
ts256764;Heaven Official's Blessing;SHOW;2020;TV-14;['scifi', 'drama', 'action', 'animation'];8,2;7,437;8,6
tm828317;Tell Me Who I Am;MOVIE;2019;;['thriller', 'documentation', 'drama'];7,6;6,542;7,5
ts251157;Wizards: Tales of Arcadia;SHOW;2020;TV-Y7;['action', 'comedy', 'scifi', 'animation'];;27,027;8,303
tm918734;Concrete Cowboy;MOVIE;2020;R;['western', 'drama'];6,3;8,139;6,2
tm818502;Live Twice, Love Once;MOVIE;2019;;['comedy', 'drama', 'european'];7,2;14,209;7,5
ts223308;Astronomy Club: The Sketch Show;SHOW;2019;TV-MA;['comedy'];6,9;1,4;7,2
tm926004;The Boss Baby: Get That Baby!;MOVIE;2020;;['animation'];;56,526;7
tm490222;Uncorked;MOVIE;2020;;['drama', 'comedy'];6,4;8,757;6,1
tm467579;The Last Summer;MOVIE;2019;;['romance', 'comedy'];;20,86;6
ts215178;Grand Army;SHOW;2020;TV-MA;['drama'];7,4;9,697;8
ts213820;Next in Fashion;SHOW;2020;TV-14;['reality'];7,3;4,72;8
ts89326;Persona;SHOW;2019;TV-MA;['drama'];6,6;5,056;6,5
ts223759;Killer Inside: The Mind of Aaron Hernandez;SHOW;2020;TV-MA;['documentation', 'crime', 'sport'];7,4;7,173;7,4
tm452826;Poms;MOVIE;2019;PG-13;['comedy', 'drama', 'sport'];6;9,696;6,6
tm928541;Barbie: Princess Adventure;MOVIE;2020;G;['animation', 'family'];5,5;79,617;7,3
tm858954;Nobody Sleeps in the Woods Tonight;MOVIE;2020;;['horror', 'thriller', 'drama', 'romance', 'fantasy', 'european'];4,9;91,502;5
tm845549;The Reason I Jump;MOVIE;2020;;['documentation', 'drama'];7,5;2,638;7,2
tm432022;Violet Evergarden: The Movie;MOVIE;2020;PG;['fantasy', 'animation', 'drama', 'romance'];8,3;19,795;8,5
ts192440;Garth Brooks: The Road I'm On;SHOW;2019;TV-PG;['documentation', 'reality'];7,4;0,699;10
ts225912;Biohackers;SHOW;2020;TV-MA;['drama', 'scifi', 'action', 'thriller'];6,8;11,461;7,5
ts93066;The I-Land;SHOW;2019;TV-MA;['drama', 'scifi', 'reality'];4,6;16,064;5,66
tm475783;Jo Koy: Comin� In Hot;MOVIE;2019;;['comedy'];7,3;2,53;7,1
ts219561;The Mind, Explained;SHOW;2019;TV-14;['documentation'];8;9,751;7,8
tm452851;The Operative;MOVIE;2019;;['thriller', 'drama', 'action'];5,7;18,028;5,7
ts85480;Carole & Tuesday;SHOW;2019;TV-PG;['scifi', 'drama', 'animation', 'music'];7,8;9,913;7,4
ts89958;Arthdal Chronicles;SHOW;2019;;['drama', 'action', 'fantasy', 'history', 'romance'];8,3;16,156;8,114
ts88485;Green Eggs and Ham;SHOW;2019;TV-Y7;['animation', 'comedy', 'action', 'family', 'drama', 'fantasy', 'romance'];8,1;13,878;8,6
